fileName,buggy_line,rank,rEEFail,rEEPass,num_failed_cetest,num_passed_cetest,num_failed_stetest,num_passed_stetest,num_failed_test,failed_tests_coverage_length,num_passed_test_execute_buggy_line,num_failed_test_execute_buggy_line,bug_id,type_reefail,type_reepass
com/fasterxml/jackson/core/util/JsonParserSequence.java,107,254.5,0,0,0,0,0,0,1,396,1,1,jacksoncore016,rEEFail=0,rEEPass=0
com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,717,645,0,0,0,0,0,0,12,1180,3,8,jacksoncore022,rEEFail=0,rEEPass=0
com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java,126,214,0,0,0,0,0,0,1,324,1,1,jacksoncore003,rEEFail=0,rEEPass=0
com/fasterxml/jackson/core/io/IOContext.java,274,11.5,0,0,0,0,0,0,1,23,0,1,jacksoncore014,rEEFail=0,0<rEEPass<1
com/fasterxml/jackson/core/JsonPointer.java,193,27.5,0,0,0,0,0,0,1,42,4,1,jacksoncore006,rEEFail=0,rEEPass=0
com/fasterxml/jackson/core/json/async/NonBlockingJsonParser.java,108,101,0,0,0,0,0,0,1,206,0,1,jacksoncore026,rEEFail=0,0<rEEPass<1
com/fasterxml/jackson/core/util/TextBuffer.java,307,6,0,0,0,0,0,0,1,15,0,1,jacksoncore008,rEEFail=0,rEEPass=0
com/fasterxml/jackson/core/filter/FilteringParserDelegate.java,238,219,0,0,0,0,0,0,3,887,0,3,jacksoncore021,rEEFail=0,0<rEEPass<1
com/fasterxml/jackson/core/util/TextBuffer.java,586,5.5,0,0,0,0,0,0,1,34,1,1,jacksoncore004,rEEFail=0,rEEPass=0
com/fasterxml/jackson/core/sym/ByteQuadsCanonicalizer.java,925,11.5,0,0,0,0,0,0,4,687,4,4,jacksoncore010,rEEFail=0,rEEPass=0
com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,622,56.5,0,0,0,0,0,0,1,230,0,1,jacksoncore012,rEEFail=0,rEEPass=0
com/fasterxml/jackson/core/base/ParserBase.java,869,22.5,0.875,0.0344827586206897,7,1,0,0,8,678,0,3,jacksoncore024,0<rEEFail<1,0<rEEPass<1
com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,952,72,0,0,0,0,0,0,2,335,0,1,jacksoncore002,rEEFail=0,rEEPass=0
com/fasterxml/jackson/core/JsonPointer.java,193,19.5,0,0,0,0,0,0,1,31,3,1,jacksoncore005,rEEFail=0,rEEPass=0
com/fasterxml/jackson/core/JsonGenerator.java,1330,4,0.5,0,1,0,0,0,2,69,0,2,jacksoncore020,0<rEEFail<1,rEEPass=0
com/fasterxml/jackson/core/json/JsonWriteContext.java,169,2,0,0,0,0,0,0,2,211,0,2,jacksoncore007,rEEFail=0,rEEPass=0
com/fasterxml/jackson/core/util/DefaultPrettyPrinter.java,255,1,1,0,0,0,1,0,1,16,0,1,jacksoncore023,rEEFail=1,rEEPass=0
org/apache/commons/math/ode/nonstiff/RungeKuttaIntegrator.java,180,4.5,0,0.235294117647059,0,4,0,0,2,457,0,1,math071,rEEFail=0,0<rEEPass<1
org/apache/commons/math3/optimization/univariate/BrentOptimizer.java,274,142,0,0.222222222222222,0,2,0,0,1,259,8,1,math023,rEEFail=0,0<rEEPass<1
org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java,198,31.5,0,0.0833333333333333,0,0,0,1,1,91,1,1,math085,rEEFail=0,0<rEEPass<1
org/apache/commons/math/analysis/BrentSolver.java,138,32,0,0.5,0,0,0,2,1,45,4,1,math097,rEEFail=0,0<rEEPass<1
org/apache/commons/math/complex/Complex.java,257,1,0,0.0087719298245614,0,1,0,0,2,116,2,2,math047,rEEFail=0,0<rEEPass<1
org/apache/commons/math3/optimization/direct/CMAESOptimizer.java,921,532.5,0,0.347826086956522,0,8,0,0,1,922,15,1,math020,rEEFail=0,0<rEEPass<1
org/apache/commons/math/util/MultidimensionalCounter.java,237,142.5,0,0.5,0,1,0,1,1,341,0,1,math056,rEEFail=0,0<rEEPass<1
org/apache/commons/math3/complex/Complex.java,305,1.5,0,0.00819672131147541,0,1,0,0,1,10,0,1,math005,rEEFail=0,0<rEEPass<1
org/apache/commons/math/geometry/Vector3D.java,473,1,0,0.166666666666667,0,3,0,0,1,7,2,1,math055,rEEFail=0,0<rEEPass<1
org/apache/commons/math/stat/Frequency.java,303,1.5,0,0.285714285714286,0,0,0,2,1,44,0,1,math075,rEEFail=0,0<rEEPass<1
org/apache/commons/math/stat/correlation/PearsonsCorrelation.java,171,36,0,0.133333333333333,0,0,0,2,2,232,5,2,math069,rEEFail=0,0<rEEPass<1
org/apache/commons/math/optimization/linear/SimplexTableau.java,275,118.5,0,0.181818181818182,0,2,0,0,1,197,11,1,math087,rEEFail=0,0<rEEPass<1
org/apache/commons/math/distribution/PoissonDistributionImpl.java,94,2,1,0,1,0,0,0,1,21,0,1,math061,rEEFail=1,rEEPass=0
