fileName,buggy_line,rank,rEEFail,rEEPass,num_failed_cetest,num_passed_cetest,num_failed_stetest,num_passed_stetest,num_failed_test,failed_tests_coverage_length,num_passed_test_execute_buggy_line,num_failed_test_execute_buggy_line,type_reefail,type_reepass
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/PowellOptimizer.java,283,140,0,0.21875,0,14,0,0,2,419,2,2,rEEFail=0,0<rEEPass<1
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,257,7.5,0,0.245614035087719,0,14,0,0,9,491,0,9,rEEFail=0,0<rEEPass<1
org/apache/commons/math3/stat/correlation/PearsonsCorrelation.java,235,10,0,0.1875,0,1,0,3,15,318,0,15,rEEFail=0,0<rEEPass<1
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,273,6,0,0.215384615384615,0,14,0,0,1,241,0,1,rEEFail=0,0<rEEPass<1
org/apache/commons/math3/optimization/SimplePointChecker.java,134,6,0,0.357142857142857,0,5,0,0,1,30,0,1,rEEFail=0,0<rEEPass<1
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,213,14,0.1,0.232142857142857,1,13,0,0,10,490,0,10,0<rEEFail<1,0<rEEPass<1
org/apache/commons/math3/stat/regression/AbstractMultipleLinearRegression.java,134,5.5,0,0.197183098591549,0,2,0,12,11,434,0,11,rEEFail=0,0<rEEPass<1
org/apache/commons/math3/fitting/leastsquares/AbstractLeastSquaresOptimizer.java,228,85,0,0,0,0,0,0,18,843,0,18,rEEFail=0,rEEPass=0
org/apache/commons/math3/ml/clustering/KMeansPlusPlusClusterer.java,320,7,0,0.5,0,6,0,0,4,49,0,4,rEEFail=0,0<rEEPass<1
org/apache/commons/math3/optim/nonlinear/scalar/noderiv/NelderMeadSimplex.java,223,10,0,0.245614035087719,0,14,0,0,9,481,1,9,rEEFail=0,0<rEEPass<1
org/apache/commons/math3/analysis/polynomials/PolynomialSplineFunction.java,141,3,1,0.0769230769230769,2,3,0,0,2,61,0,2,rEEFail=1,0<rEEPass<1
org/apache/commons/math3/stat/correlation/PearsonsCorrelation.java,80,18.5,1,0.0344827586206897,0,1,2,1,2,207,12,2,rEEFail=1,0<rEEPass<1
